Date,Time,Open,High,Low,Close,Volume
2018.08.14,23:00,1.30713,1.30723,1.30672,1.30676,852
2018.08.14,23:15,1.30678,1.30684,1.30652,1.30653,658
2018.08.14,23:30,1.30652,1.30674,1.30631,1.30654,772
2018.08.14,23:45,1.30656,1.30663,1.30551,1.30567,638
2018.08.15,00:00,1.30566,1.30642,1.30552,1.30626,265
2018.08.15,00:15,1.30627,1.30628,1.30570,1.30574,214
2018.08.15,00:30,1.30576,1.30615,1.30527,1.30542,302
2018.08.15,00:45,1.30544,1.30570,1.30542,1.30556,496
2018.08.15,01:00,1.30554,1.30580,1.30545,1.30548,586
2018.08.15,01:15,1.30547,1.30557,1.30501,1.30507,504
2018.08.15,01:30,1.30509,1.30536,1.30494,1.30509,257
2018.08.15,01:45,1.30508,1.30520,1.30506,1.30507,165
2018.08.15,02:00,1.30506,1.30561,1.30503,1.30558,207
2018.08.15,02:15,1.30558,1.30560,1.30553,1.30560,111
2018.08.15,02:30,1.30560,1.30569,1.30530,1.30566,147
2018.08.15,02:45,1.30564,1.30574,1.30540,1.30569,250
2018.08.15,03:00,1.30568,1.30590,1.30565,1.30584,347
2018.08.15,03:15,1.30584,1.30603,1.30535,1.30591,574
2018.08.15,03:30,1.30591,1.30639,1.30590,1.30633,627
2018.08.15,03:45,1.30630,1.30641,1.30616,1.30634,537
2018.08.15,04:00,1.30637,1.30657,1.30605,1.30606,744
2018.08.15,04:15,1.30607,1.30630,1.30586,1.30600,823
2018.08.15,04:30,1.30595,1.30622,1.30561,1.30565,856
2018.08.15,04:45,1.30566,1.30589,1.30550,1.30580,1035
2018.08.15,05:00,1.30578,1.30643,1.30574,1.30639,818
2018.08.15,05:15,1.30641,1.30668,1.30634,1.30643,926
2018.08.15,05:30,1.30642,1.30702,1.30634,1.30695,1067
2018.08.15,05:45,1.30695,1.30742,1.30692,1.30711,1399
2018.08.15,06:00,1.30711,1.30741,1.30702,1.30736,1201
2018.08.15,06:15,1.30735,1.30753,1.30706,1.30709,1275
2018.08.15,06:30,1.30708,1.30737,1.30695,1.30734,883
2018.08.15,06:45,1.30735,1.30740,1.30705,1.30723,779
2018.08.15,07:00,1.30729,1.30756,1.30711,1.30722,1089
2018.08.15,07:15,1.30720,1.30725,1.30711,1.30716,638
2018.08.15,07:30,1.30715,1.30763,1.30711,1.30753,791
2018.08.15,07:45,1.30754,1.30762,1.30738,1.30747,721
2018.08.15,08:00,1.30747,1.30779,1.30745,1.30769,868
2018.08.15,08:15,1.30770,1.30791,1.30695,1.30702,1155
2018.08.15,08:30,1.30703,1.30711,1.30641,1.30703,1085
2018.08.15,08:45,1.30703,1.30821,1.30702,1.30806,970
2018.08.15,09:00,1.30807,1.30834,1.30736,1.30749,1200
2018.08.15,09:15,1.30748,1.30755,1.30702,1.30750,1203
2018.08.15,09:30,1.30753,1.30777,1.30721,1.30761,1028
2018.08.15,09:45,1.30762,1.30782,1.30704,1.30745,1187
2018.08.15,10:00,1.30746,1.30770,1.30694,1.30728,1158
2018.08.15,10:15,1.30728,1.30752,1.30661,1.30745,1214
2018.08.15,10:30,1.30743,1.30753,1.30652,1.30719,1274
2018.08.15,10:45,1.30719,1.30803,1.30708,1.30770,1456
2018.08.15,11:00,1.30768,1.30783,1.30700,1.30705,1554
2018.08.15,11:15,1.30708,1.30732,1.30697,1.30727,920
2018.08.15,11:30,1.30729,1.30809,1.30726,1.30751,1155
2018.08.15,11:45,1.30751,1.30809,1.30742,1.30787,861
2018.08.15,12:00,1.30788,1.30812,1.30743,1.30788,1163
2018.08.15,12:15,1.30788,1.30798,1.30765,1.30784,953
2018.08.15,12:30,1.30783,1.30813,1.30751,1.30788,967
2018.08.15,12:45,1.30789,1.30933,1.30781,1.30925,933
2018.08.15,13:00,1.30925,1.30933,1.30868,1.30919,1196
2018.08.15,13:15,1.30925,1.30934,1.30877,1.30930,1045
2018.08.15,13:30,1.30933,1.30980,1.30919,1.30926,1247
2018.08.15,13:45,1.30927,1.31077,1.30927,1.31017,1571
2018.08.15,14:00,1.31018,1.31063,1.30990,1.31047,1195
2018.08.15,14:15,1.31049,1.31096,1.31024,1.31087,1168
2018.08.15,14:30,1.31087,1.31151,1.31024,1.31061,1394
2018.08.15,14:45,1.31059,1.31064,1.30967,1.30974,1029
2018.08.15,15:00,1.30974,1.31010,1.30922,1.31002,1092
2018.08.15,15:15,1.31003,1.31021,1.30933,1.30947,1277
2018.08.15,15:30,1.30955,1.31060,1.30955,1.31029,1915
2018.08.15,15:45,1.31028,1.31061,1.30952,1.31054,1408
2018.08.15,16:00,1.31053,1.31184,1.31022,1.31125,1642
2018.08.15,16:15,1.31122,1.31204,1.31102,1.31141,1682
2018.08.15,16:30,1.31146,1.31263,1.31111,1.31263,1871
2018.08.15,16:45,1.31262,1.31406,1.31233,1.31378,1978
2018.08.15,17:00,1.31378,1.31392,1.31297,1.31360,2286
2018.08.15,17:15,1.31361,1.31444,1.31297,1.31420,2495
2018.08.15,17:30,1.31417,1.31520,1.31412,1.31506,2237
2018.08.15,17:45,1.31504,1.31700,1.31501,1.31690,2232
2018.08.15,18:00,1.31685,1.31738,1.31518,1.31604,3011
2018.08.15,18:15,1.31605,1.31725,1.31590,1.31686,2345
2018.08.15,18:30,1.31684,1.31735,1.31623,1.31677,2038
2018.08.15,18:45,1.31674,1.31677,1.31542,1.31546,1494
2018.08.15,19:00,1.31547,1.31578,1.31489,1.31512,1359
2018.08.15,19:15,1.31513,1.31564,1.31448,1.31448,1511
2018.08.15,19:30,1.31449,1.31474,1.31349,1.31385,1420
2018.08.15,19:45,1.31385,1.31448,1.31378,1.31415,1231
2018.08.15,20:00,1.31412,1.31475,1.31400,1.31439,1054
2018.08.15,20:15,1.31439,1.31450,1.31350,1.31387,1796
2018.08.15,20:30,1.31386,1.31466,1.31383,1.31446,936
2018.08.15,20:45,1.31440,1.31511,1.31408,1.31498,1020
2018.08.15,21:00,1.31499,1.31503,1.31445,1.31454,807
2018.08.15,21:15,1.31452,1.31474,1.31409,1.31420,1033
2018.08.15,21:30,1.31420,1.31430,1.31364,1.31395,1006
2018.08.15,21:45,1.31396,1.31422,1.31371,1.31377,997
2018.08.15,22:00,1.31376,1.31387,1.31313,1.31336,1227
2018.08.15,22:15,1.31336,1.31361,1.31326,1.31346,918
2018.08.15,22:30,1.31349,1.31369,1.31313,1.31351,920
2018.08.15,22:45,1.31351,1.31374,1.31325,1.31362,1002
2018.08.15,23:00,1.31361,1.31362,1.31257,1.31282,940
2018.08.15,23:15,1.31280,1.31284,1.31251,1.31274,748
2018.08.15,23:30,1.31273,1.31318,1.31256,1.31290,465
2018.08.15,23:45,1.31289,1.31400,1.31289,1.31399,842
2018.08.16,00:00,1.31399,1.31402,1.31378,1.31385,268
2018.08.16,00:15,1.31393,1.31393,1.31382,1.31389,62
2018.08.16,00:30,1.31384,1.31411,1.31384,1.31404,319
2018.08.16,00:45,1.31405,1.31415,1.31384,1.31394,594
2018.08.16,01:00,1.31393,1.31432,1.31389,1.31426,260
2018.08.16,01:15,1.31425,1.31425,1.31397,1.31397,241
2018.08.16,01:30,1.31398,1.31405,1.31389,1.31403,255
2018.08.16,01:45,1.31403,1.31406,1.31391,1.31403,425
2018.08.16,02:00,1.31404,1.31414,1.31388,1.31411,449
2018.08.16,02:15,1.31411,1.31427,1.31404,1.31405,780
2018.08.16,02:30,1.31404,1.31418,1.31379,1.31418,701
2018.08.16,02:45,1.31418,1.31460,1.31411,1.31459,503
2018.08.16,03:00,1.31459,1.31520,1.31435,1.31476,722
2018.08.16,03:15,1.31476,1.31541,1.31473,1.31502,753
2018.08.16,03:30,1.31503,1.31531,1.31489,1.31528,979
2018.08.16,03:45,1.31529,1.31540,1.31462,1.31479,1071
2018.08.16,04:00,1.31479,1.31488,1.31435,1.31487,1293
2018.08.16,04:15,1.31487,1.31510,1.31461,1.31475,1027
2018.08.16,04:30,1.31476,1.31513,1.31278,1.31323,3295
2018.08.16,04:45,1.31323,1.31370,1.31279,1.31307,1567
2018.08.16,05:00,1.31302,1.31333,1.31226,1.31234,1413
2018.08.16,05:15,1.31236,1.31278,1.31226,1.31237,1354
2018.08.16,05:30,1.31237,1.31307,1.31237,1.31301,1321
2018.08.16,05:45,1.31301,1.31315,1.31235,1.31281,978
2018.08.16,06:00,1.31280,1.31320,1.31272,1.31309,912
2018.08.16,06:15,1.31308,1.31369,1.31304,1.31342,684
2018.08.16,06:30,1.31343,1.31366,1.31327,1.31343,686
2018.08.16,06:45,1.31344,1.31352,1.31224,1.31232,1674
2018.08.16,07:00,1.31232,1.31259,1.31224,1.31248,1353
2018.08.16,07:15,1.31247,1.31266,1.31203,1.31229,847
2018.08.16,07:30,1.31228,1.31238,1.31168,1.31172,759
2018.08.16,07:45,1.31172,1.31215,1.31171,1.31214,871
2018.08.16,08:00,1.31207,1.31210,1.31172,1.31181,1437
2018.08.16,08:15,1.31182,1.31214,1.31136,1.31147,1180
2018.08.16,08:30,1.31147,1.31166,1.31128,1.31135,1603
2018.08.16,08:45,1.31134,1.31188,1.31132,1.31154,1178
2018.08.16,09:00,1.31154,1.31245,1.31147,1.31226,1687
2018.08.16,09:15,1.31226,1.31278,1.31215,1.31243,1769
2018.08.16,09:30,1.31243,1.31259,1.31128,1.31147,1416
2018.08.16,09:45,1.31146,1.31256,1.31146,1.31242,1695
2018.08.16,10:00,1.31242,1.31283,1.31189,1.31271,1376
2018.08.16,10:15,1.31270,1.31277,1.31226,1.31231,907
2018.08.16,10:30,1.31231,1.31302,1.31214,1.31268,1062
2018.08.16,10:45,1.31269,1.31325,1.31258,1.31275,1308
2018.08.16,11:00,1.31275,1.31302,1.31200,1.31208,1324
2018.08.16,11:15,1.31208,1.31243,1.31192,1.31205,1189
2018.08.16,11:30,1.31199,1.31216,1.31165,1.31208,1372
2018.08.16,11:45,1.31208,1.31252,1.31207,1.31234,1005
2018.08.16,12:00,1.31232,1.31324,1.31231,1.31312,1317
2018.08.16,12:15,1.31312,1.31328,1.31277,1.31288,908
2018.08.16,12:30,1.31289,1.31312,1.31270,1.31278,815
2018.08.16,12:45,1.31279,1.31304,1.31268,1.31277,980
2018.08.16,13:00,1.31277,1.31300,1.31172,1.31178,877
2018.08.16,13:15,1.31178,1.31227,1.31166,1.31211,782
2018.08.16,13:30,1.31212,1.31304,1.31205,1.31287,919
2018.08.16,13:45,1.31288,1.31304,1.31269,1.31287,926
2018.08.16,14:00,1.31287,1.31384,1.31285,1.31356,1485
2018.08.16,14:15,1.31356,1.31383,1.31304,1.31342,1048
2018.08.16,14:30,1.31344,1.31455,1.31338,1.31437,1140
2018.08.16,14:45,1.31437,1.31470,1.31413,1.31461,969
2018.08.16,15:00,1.31461,1.31469,1.31421,1.31439,1062
2018.08.16,15:15,1.31440,1.31547,1.31416,1.31497,1143
2018.08.16,15:30,1.31497,1.31501,1.31362,1.31398,1905
2018.08.16,15:45,1.31399,1.31579,1.31395,1.31528,1868
2018.08.16,16:00,1.31527,1.31625,1.31484,1.31613,1640
2018.08.16,16:15,1.31614,1.31631,1.31480,1.31493,1307
2018.08.16,16:30,1.31489,1.31491,1.31339,1.31341,1447
2018.08.16,16:45,1.31344,1.31382,1.31211,1.31372,2257
2018.08.16,17:00,1.31373,1.31442,1.31328,1.31434,1738
2018.08.16,17:15,1.31433,1.31510,1.31421,1.31453,1227
2018.08.16,17:30,1.31452,1.31478,1.31364,1.31407,1403
2018.08.16,17:45,1.31408,1.31461,1.31336,1.31455,1515
2018.08.16,18:00,1.31459,1.31460,1.31334,1.31355,1293
2018.08.16,18:15,1.31357,1.31417,1.31328,1.31405,941
2018.08.16,18:30,1.31406,1.31547,1.31405,1.31530,1028
2018.08.16,18:45,1.31530,1.31546,1.31433,1.31439,1171
2018.08.16,19:00,1.31440,1.31477,1.31392,1.31439,1576
2018.08.16,19:15,1.31440,1.31509,1.31438,1.31466,1005
2018.08.16,19:30,1.31466,1.31681,1.31451,1.31637,2004
2018.08.16,19:45,1.31634,1.31691,1.31560,1.31598,2134
2018.08.16,20:00,1.31597,1.31622,1.31499,1.31533,1369
2018.08.16,20:15,1.31534,1.31566,1.31517,1.31551,1301
2018.08.16,20:30,1.31551,1.31621,1.31545,1.31595,917
2018.08.16,20:45,1.31596,1.31736,1.31596,1.31662,1653
2018.08.16,21:00,1.31661,1.31692,1.31609,1.31609,951
2018.08.16,21:15,1.31610,1.31630,1.31558,1.31586,1189
2018.08.16,21:30,1.31586,1.31630,1.31566,1.31578,679
2018.08.16,21:45,1.31579,1.31592,1.31543,1.31577,814
2018.08.16,22:00,1.31586,1.31601,1.31562,1.31577,1016
2018.08.16,22:15,1.31578,1.31629,1.31577,1.31598,1011
2018.08.16,22:30,1.31597,1.31620,1.31584,1.31597,1260
2018.08.16,22:45,1.31598,1.31612,1.31577,1.31606,1258
2018.08.16,23:00,1.31605,1.31619,1.31586,1.31613,872
2018.08.16,23:15,1.31613,1.31613,1.31583,1.31585,415
2018.08.16,23:30,1.31585,1.31638,1.31585,1.31621,522
2018.08.16,23:45,1.31620,1.31626,1.31561,1.31561,454
2018.08.17,00:00,1.31560,1.31579,1.31511,1.31532,925
2018.08.17,00:15,1.31535,1.31535,1.31533,1.31533,129
2018.08.17,00:30,1.31533,1.31540,1.31487,1.31539,167
2018.08.17,00:45,1.31539,1.31545,1.31534,1.31545,110
2018.08.17,01:00,1.31542,1.31573,1.31538,1.31570,348
2018.08.17,01:15,1.31569,1.31582,1.31551,1.31561,245
2018.08.17,01:30,1.31560,1.31577,1.31560,1.31562,286
2018.08.17,01:45,1.31565,1.31587,1.31546,1.31576,414
2018.08.17,02:00,1.31574,1.31587,1.31569,1.31585,241
2018.08.17,02:15,1.31585,1.31593,1.31584,1.31585,338
2018.08.17,02:30,1.31586,1.31597,1.31571,1.31591,424
2018.08.17,02:45,1.31592,1.31596,1.31580,1.31588,521
2018.08.17,03:00,1.31589,1.31669,1.31585,1.31665,883
2018.08.17,03:15,1.31664,1.31683,1.31625,1.31659,770
2018.08.17,03:30,1.31657,1.31672,1.31613,1.31621,632
2018.08.17,03:45,1.31620,1.31625,1.31588,1.31599,773
2018.08.17,04:00,1.31604,1.31620,1.31538,1.31540,870
2018.08.17,04:15,1.31539,1.31545,1.31420,1.31424,1374
2018.08.17,04:30,1.31423,1.31467,1.31415,1.31464,1016
2018.08.17,04:45,1.31465,1.31507,1.31452,1.31502,630
2018.08.17,05:00,1.31500,1.31503,1.31437,1.31444,826
2018.08.17,05:15,1.31445,1.31465,1.31440,1.31450,720
2018.08.17,05:30,1.31451,1.31483,1.31451,1.31479,669
